YEAR_,MONTH_,TEMP_mean,TEMP_median,MIN_mean,MAX_mean,PRCP_mean,PRCP_median,PRCP_min,PRCP_max
1953,9,67.44419644959268,68.5,56.173573078192014,79.93084173814687,0.00665826930343872,0.0,0.0,5.39
1953,10,57.61288407980642,58.6,47.02523176690871,69.88867821081007,0.0051313599619591055,0.0,0.0,2.64
1953,11,46.26074788334901,47.5,37.51741625893865,56.95715227112262,0.006579777747290438,0.0,0.0,2.91
1953,12,37.711279292422724,38.3,29.851942367317164,47.12286809326094,0.00943663060278207,0.0,0.0,3.07
1954,1,34.19391264367816,35.9,25.96478244871677,44.48636804433156,0.008049481245011971,0.0,0.0,2.17
1954,2,41.6859923566879,43.4,32.28326963257402,53.38376639950993,0.006435998828353837,0.0,0.0,5.08
1954,3,42.454807249976994,41.9,33.469169542213024,53.534255544796416,0.006960502030269472,0.0,0.0,1.61
1954,4,55.676231232667114,57.5,45.63215772598937,67.50113451412159,0.008855935291117103,0.0,0.0,3.86
1954,5,60.49596052752928,60.8,50.422645077959224,71.5532420217672,0.008855817273376159,0.0,0.0,2.28
1954,6,70.38716816283424,72.7,60.17095302142376,81.57746086622491,0.008129013637347571,0.0,0.0,3.46
1954,7,75.33055516645655,77.2,64.71880401775286,86.9345738968013,0.0072252728157364285,0.0,0.0,3.46
1954,8,72.97086950401201,73.4,63.159796282388285,84.21034871169098,0.010205779659757818,0.0,0.0,3.03
1954,9,67.960985874613,69.0,57.70301811839938,79.7554054708303,0.0075568887050062065,0.0,0.0,8.03
1954,10,57.19614736447899,57.0,47.84915214540003,68.40698023048814,0.00754851404532501,0.0,0.0,4.29
1954,11,46.444582013628946,46.5,37.68158778919074,57.04338136407301,0.0069385749385749386,0.0,0.0,1.97
1954,12,36.20950384346611,36.7,28.254671264153583,45.944196241197595,0.00759806081974438,0.0,0.0,2.13
1955,1,34.3744037263595,34.8,27.04310180245943,43.13395484668089,0.007596891694997571,0.0,0.0,1.42
1955,2,35.46990813074183,36.9,27.107338417302163,45.70033210100883,0.009822604631400042,0.0,0.0,2.6
1955,3,43.92909915014164,44.25,34.65297619047619,55.18188797270401,0.007657769135584232,0.0,0.0,1.57
1955,4,54.426928948913684,56.0,44.701233625095455,65.52790178571429,0.00856274385264495,0.0,0.0,4.49
1955,5,63.032661519246055,64.45,53.14544835027542,73.9968251263702,0.00964136853073984,0.0,0.0,3.58
1955,6,67.88160838337454,69.3,58.053925899746716,78.50252590673574,0.009975349219391949,0.0,0.0,3.58
1955,7,74.48338175810403,77.6,65.0301077721389,85.11054700854702,0.010958206822646902,0.0,0.0,2.99
1955,8,73.83754915930464,76.8,64.2743008788951,84.54385904892234,0.013183976517309851,0.0,0.0,6.93
1955,9,67.16640506032564,69.8,57.55815590357206,78.020568248389,0.009109250732524068,0.0,0.0,4.8
1955,10,56.49859106919668,57.8,46.76204915234953,67.90421501706486,0.012008844484481206,0.0,0.0,4.53
1955,11,42.05880460845663,43.9,33.59582334015794,52.3372428345349,0.008907024979709622,0.0,0.0,2.24
1955,12,35.16077341800862,35.5,27.61260065782012,44.38043033950267,0.006830113014947138,0.0,0.0,1.93
1956,1,33.9071690450674,35.7,26.384025270758123,43.06208201536376,0.009651502307619854,0.0,0.0,2.09
1956,2,36.71606885796545,37.8,28.7146550689862,46.43559545973215,0.010218905472636817,0.0,0.0,3.27
1956,3,43.19206393718452,44.2,33.53639220968738,54.68489451476793,0.009794280836534356,0.0,0.0,2.95
1956,4,51.84770068342407,51.8,42.20813973697931,62.96525522041763,0.007903311965811965,0.0,0.0,2.13
1956,5,62.99006652132596,63.7,53.25740896123511,73.96255173956818,0.01070150700625716,0.0,0.0,2.52
1956,6,70.82134955111498,73.2,60.635129497653395,81.80305259499536,0.009632963383728044,0.0,0.0,2.6
1956,7,73.50996844359291,74.9,63.89521474467365,84.18613208610391,0.01349532710280374,0.0,0.0,4.33
1956,8,72.69409646012718,74.2,62.8351050053488,83.64889964541003,0.009107580495225217,0.0,0.0,2.64
1956,9,66.32906092107557,67.8,55.79125807014483,78.05360962566846,0.007381294964028777,0.0,0.0,8.39
1956,10,57.424774547695066,59.8,48.12041125056029,68.22071072249314,0.008512005139323858,0.0,0.0,3.19
1956,11,43.64144892426602,45.2,34.7642321449175,54.56916859122402,0.006013921502851392,0.0,0.0,4.21
1956,12,39.13454903062658,41.3,31.003243030575536,49.18332958000225,0.0073431994362226916,0.0,0.0,2.6
1957,1,33.17176654391251,33.4,25.700340439781225,42.33238175202911,0.008406481382122546,0.0,0.0,2.99
1957,2,40.98379261451205,41.5,33.38559536289079,50.529125494071145,0.008493029431290109,0.0,0.0,2.05
1957,3,44.44109367145171,44.5,36.25165056135843,54.42188740426008,0.01032715168806467,0.0,0.0,2.01
1957,4,53.775076585168485,54.7,44.987161849710986,64.20502343885641,0.012107910830538568,0.0,0.0,2.28
1957,5,62.09306985805733,62.5,53.123970162547316,72.3015809396571,0.013706017455213597,0.0,0.0,2.76
1957,6,70.83640050990846,72.3,61.38498406259055,81.48669525409979,0.014095203488372093,0.0,0.0,3.43
1957,7,74.61225267641949,76.4,64.52275479313823,85.57525507343873,0.010008680555555555,0.0,0.0,4.65
1957,8,72.47622365927081,73.3,62.61575453277545,83.44303712788493,0.009320769532783667,0.0,0.0,3.9
1957,9,66.12065248552263,67.2,56.8726808559463,76.9785337310693,0.010887194593657945,0.0,0.0,3.74
1957,10,54.39258787005211,55.2,46.43834127952101,64.00767311637189,0.009567372311827957,0.0,0.0,3.15
1957,11,45.09800898799704,45.5,38.01894706886739,53.96330259562842,0.010794942168202313,0.0,0.0,2.28
1957,12,39.07188295165395,41.1,31.313054064523268,48.71667220376523,0.010283948405589395,0.0,0.0,2.52
1958,1,34.64923442595766,35.5,27.335736798451755,43.80962495851311,0.012043815362423368,0.0,0.0,2.64
1958,2,34.661145369070155,36.3,27.24150079374771,43.9702834799609,0.011093338945596127,0.0,0.0,3.5
1958,3,41.67876257879022,41.1,34.585375428508236,50.40262110152621,0.013179041110075592,0.0,0.0,2.28
1958,4,53.20452698449036,53.9,44.076697195191755,63.86193884562528,0.012922837813128541,0.0,0.0,4.09
1958,5,63.07470025968286,64.8,53.14392440736034,73.96017684443216,0.008917748917748918,0.0,0.0,2.36
1958,6,69.19658045478215,69.2,59.80854216100469,79.67022975866658,0.013326412709875429,0.0,0.0,4.21
1958,7,73.41882352941175,75.0,64.46378786172728,83.63389439315469,0.01457589492183887,0.0,0.0,3.82
1958,8,73.27341593917207,75.2,63.80203932172835,83.96749662009914,0.011053034817400187,0.0,0.0,4.69
1958,9,66.58282418410528,68.2,57.62403037857267,77.2206656616027,0.01141077738515901,0.0,0.0,3.58
1958,10,55.78878357915989,57.7,46.663614430791675,66.82319393769295,0.008279795158286777,0.0,0.0,4.76
1958,11,46.17623393988722,48.3,37.86773255813954,56.45407166123778,0.010154804270462633,0.0,0.0,2.36
1958,12,34.970661644836696,36.2,26.96607996401057,45.09255486775464,0.006709433962264151,0.0,0.0,2.2
1959,1,32.73639705882353,34.7,24.746920248218803,43.02891358166849,0.010303783485225076,0.0,0.0,2.01
1959,2,36.85422476918179,37.3,29.089153557098275,46.68699337241907,0.012537874339401057,0.0,0.0,1.89
1959,3,42.45343881734711,44.3,33.028953448076706,53.87675050592657,0.01254019007016609,0.0,0.0,4.49
1959,4,53.06055199664731,54.6,43.46753503413583,64.3756649892164,0.00941664412586782,0.0,0.0,1.93
1959,5,62.766106410107795,64.3,53.493605797101445,73.44361412255782,0.012399175479476608,0.0,0.0,3.98
1959,6,70.42409595202399,72.3,60.689526723052005,81.05241408264858,0.010549956559513468,0.0,0.0,3.23
